word,phonetic,origin,meanings,examples
frowning,ˈfraʊnɪŋ,,meanings,examples
frown,fraʊn,"late Middle English: from Old French froignier, from froigne ‘surly look’, of Celtic origin.",meanings,examples
instep,ˈɪnstɛp,late Middle English: of unknown origin; compare with West Frisian ynstap ‘opening in a shoe for insertion of the foot’.,meanings,examples
nicely,ˈnʌɪsli,,meanings,examples
acutely,əˈkjuːtli,,meanings,examples
half,hɑːf,"Old English half, healf, of Germanic origin; related to Dutch half and German halb (adjectives). The earliest meaning of the Germanic base was ‘side’, also a noun sense in Old English.",meanings,examples
"don't",dəʊnt,,meanings,examples
shooting,ˈʃuːtɪŋ,,meanings,examples
shoot,ʃuːt,"Old English scēotan, of Germanic origin; related to Dutch schieten and German schiessen, also to sheet1, shot1, and shut.",meanings,examples
abrupt,əˈbrʌpt,"late 16th century: from Latin abruptus ‘broken off, steep’, past participle of abrumpere, from ab- ‘away, from’ + rumpere ‘break’.",meanings,examples
quick,kwɪk,"Old English cwic, cwicu  ‘alive, animated, alert’, of Germanic origin; related to Dutch kwiek ‘sprightly’ and German keck ‘saucy’, from an Indo-European root shared by Latin vivus ‘alive’ and Greek bios, zōē ‘life’.",meanings,examples
hall,hɔːl,"Old English hall, heall (originally denoting a roofed space, located centrally, for the communal use of a tribal chief and his people); of Germanic origin and related to German Halle, Dutch hal, also to Norwegian and Swedish hall .",meanings,examples
crisply,ˈkrɪspli,,meanings,examples
salary,ˈsaləri,"Middle English: from Anglo-Norman French salarie, from Latin salarium, originally denoting a Roman soldier's allowance to buy salt, from sal ‘salt’.",meanings,examples
pretend,prɪˈtɛnd,"late Middle English: from Latin praetendere ‘stretch forth, claim’, from prae ‘before’ + tendere ‘stretch’. The adjective dates from the early 20th century.",meanings,examples
guard,ɡɑːd,"late Middle English (in the sense ‘care, custody’): from Old French garde (noun), garder (verb), of West Germanic origin. Compare with ward.",meanings,examples
wreck,rɛk,"Middle English (as a legal term denoting wreckage washed ashore): from Anglo-Norman French wrec, from the base of Old Norse reka ‘to drive’; related to wreak.",meanings,examples
tea,tiː,mid 17th century: probably via Malay from Chinese (Min dialect) te ; related to Mandarin chá . Compare with char3.,meanings,examples
imperfect,ɪmˈpəːfɪkt,"Middle English imparfit, imperfet, from Old French imparfait, from Latin imperfectus, from in- ‘not’ + perfectus (see perfect). The spelling change in the 16th century was due to association with the Latin form.",meanings,examples
drunk,drʌŋk,,meanings,examples
drink,drɪŋk,"Old English drincan (verb), drinc (noun), of Germanic origin; related to Dutch drinken and German trinken .",meanings,examples
pick,pɪk,"Middle English (earlier as pike, which continues in dialect use): of unknown origin. Compare with Dutch pikken ‘pick, peck’, and German picken ‘peck, puncture’, also with French piquer ‘to prick’.",meanings,examples
pick,pɪk,Middle English: variant of pike2.,meanings,examples
clamp,klamp,Middle English: probably of Dutch or Low German origin and related to clam.,meanings,examples
clamp,klamp,late 16th century (denoting a pile of bricks for firing): probably from Dutch klamp ‘heap’; related to clump.,meanings,examples
gloomy,ˈɡluːmi,,meanings,examples
rattle,ˈrat(ə)l,"Middle English: related to Middle Dutch and Low German ratelen, of imitative origin.",meanings,examples
ten,tɛn,"Old English tēn, tīen, of Germanic origin; related to Dutch tien and German zehn, from an Indo-European root shared by Sanskrit daśa, Greek deka, and Latin decem .",meanings,examples
ten.,,,meanings,examples
daring,ˈdɛːrɪŋ,,meanings,examples
dare,dɛː,"Old English durran, of Germanic origin; related to Gothic gadaursan, from an Indo-European root shared by Greek tharsein and Sanskrit dhṛṣ- ‘be bold’.",meanings,examples
sake,seɪk,"Old English sacu  ‘contention, crime’, of Germanic origin; related to Dutch zaak and German Sache, from a base meaning ‘affair, legal action, thing’. The phrase for the sake of may be from Old Norse.",meanings,examples
sake,ˈsɑːki,Japanese.,meanings,examples
exhale,ɪksˈheɪl,"late Middle English (in the sense ‘be given off as vapour’): from Old French exhaler, from Latin exhalare, from ex- ‘out’ + halare ‘breathe’.",meanings,examples
energy,ˈɛnədʒi,"mid 16th century (denoting force or vigour of expression): from French énergie, or via late Latin from Greek energeia, from en- ‘in, within’ + ergon ‘work’.",meanings,examples
conceal,kənˈsiːl,"Middle English: from Old French conceler, from Latin concelare, from con- ‘completely’ + celare ‘hide’.",meanings,examples
deference,ˈdɛf(ə)r(ə)ns,"mid 17th century: from French déférence, from déférer ‘refer’ (see defer2).",meanings,examples
blast,blɑːst,"Old English blǣst, of Germanic origin; related to blaze3.",meanings,examples
perspire,pəˈspʌɪə,"mid 17th century: from French perspirer, from Latin perspirare, from per- ‘through’ + spirare ‘breathe’.",meanings,examples
spread,sprɛd,"Old English -sprǣdan (used in combinations), of West Germanic origin; related to Dutch spreiden and German spreiten .",meanings,examples
scratch,skratʃ,"late Middle English: probably a blend of the synonymous dialect words scrat and cratch, both of uncertain origin; compare with Middle Low German kratsen and Old High German krazzōn .",meanings,examples
carrier,ˈkarɪə,,meanings,examples
require,rɪˈkwʌɪə,"late Middle English: from Old French requere, from Latin requirere, from re- (expressing intensive force) + quaerere ‘seek’.",meanings,examples
click,klɪk,late 16th century (as a verb): imitative.,meanings,examples
tallow,ˈtaləʊ,Middle English: perhaps from Middle Low German; related to Dutch talk and German Talg .,meanings,examples
incite,ɪnˈsʌɪt,"late 15th century (earlier (late Middle English) as incitation ): from French inciter, from Latin incitare, from in- ‘towards’ + citare ‘rouse’.",meanings,examples
patronymic,patrəˈnɪmɪk,"early 17th century: via late Latin from Greek patrōnumikos, from patrōnumos, from patēr, patr- ‘father’ + onuma ‘name’.",meanings,examples
neatness,ˈniːtnəs,,meanings,examples
unhinged,ʌnˈhɪn(d)ʒd,,meanings,examples
unhinge,ʌnˈhɪn(d)ʒ,,meanings,examples
rounded,ˈraʊndɪd,,meanings,examples
round,raʊnd,"Middle English: from the Old French stem round-, from a variant of Latin rotundus ‘rotund’.",meanings,examples
protective,prəˈtɛktɪv,,meanings,examples
amusing,əˈmjuːzɪŋ,,meanings,examples
amuse,əˈmjuːz,"late 15th century (in the sense ‘delude, deceive’): from Old French amuser ‘entertain, deceive’, from a- (expressing causal effect) + muser ‘stare stupidly’. Current senses date from the mid 17th century.",meanings,examples
